Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://github.com/imaces/CoM/raw/main/pictures/MonctonCityHall.jpg,0:00:15,1:00:00,2001-01-18 0:00,12/31/30 23:59,yes
Exhibit02,https://github.com/imaces/CoM/raw/main/pictures/MonctonSkylineDowntown2.jpg,0:00:15,1:00:00,2001-01-18 0:00,12/31/30 23:59,yes
Exhibit03,https://github.com/imaces/CoM/raw/main/pictures/MonctonSkylineNightFireworks.jpg,0:00:15,1:00:00,2001-01-18 0:00,12/31/30 23:59,yes
Exhibit04,https://github.com/imaces/CoM/raw/main/pictures/MonctonSkylineNightWide.jpg,0:00:15,1:00:00,2001-01-18 0:00,12/31/30 23:59,yes
Exhibit05,https://github.com/imaces/CoM/raw/main/pictures/MonctonSkyline.jpg,0:00:15,1:00:00,2001-01-18 0:00,12/31/30 23:59,yes
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,